datetime,power_production
01/01/2019 00:00,0.899
01/01/2019 01:00,0.942
01/01/2019 02:00,0.975
01/01/2019 03:00,0.982
01/01/2019 04:00,0.987
01/01/2019 05:00,0.991
01/01/2019 06:00,0.99
01/01/2019 07:00,0.986
01/01/2019 08:00,0.981
01/01/2019 09:00,0.981
01/01/2019 10:00,0.983
01/01/2019 11:00,0.984
01/01/2019 12:00,0.982
01/01/2019 13:00,0.975
01/01/2019 14:00,0.961
01/01/2019 15:00,0.943
01/01/2019 16:00,0.935
01/01/2019 17:00,0.939
01/01/2019 18:00,0.962
01/01/2019 19:00,0.984
01/01/2019 20:00,0.987
01/01/2019 21:00,0.988
01/01/2019 22:00,0.987
01/01/2019 23:00,0.983
02/01/2019 00:00,0.977
02/01/2019 01:00,0.972
02/01/2019 02:00,0.957
02/01/2019 03:00,0.941
02/01/2019 04:00,0.938
02/01/2019 05:00,0.92
02/01/2019 06:00,0.907
02/01/2019 07:00,0.886
02/01/2019 08:00,0.851
02/01/2019 09:00,0.822
02/01/2019 10:00,0.807
02/01/2019 11:00,0.775
02/01/2019 12:00,0.79
02/01/2019 13:00,0.789
02/01/2019 14:00,0.743
02/01/2019 15:00,0.671
02/01/2019 16:00,0.562
02/01/2019 17:00,0.481
02/01/2019 18:00,0.449
02/01/2019 19:00,0.42
02/01/2019 20:00,0.425
02/01/2019 21:00,0.41
02/01/2019 22:00,0.459
02/01/2019 23:00,0.486
03/01/2019 00:00,0.507
03/01/2019 01:00,0.501
03/01/2019 02:00,0.479
03/01/2019 03:00,0.44
03/01/2019 04:00,0.379
03/01/2019 05:00,0.343
03/01/2019 06:00,0.279
03/01/2019 07:00,0.223
03/01/2019 08:00,0.182
03/01/2019 09:00,0.114
03/01/2019 10:00,0.054
03/01/2019 11:00,0.032
03/01/2019 12:00,0.033
03/01/2019 13:00,0.039
03/01/2019 14:00,0.046
03/01/2019 15:00,0.076
03/01/2019 16:00,0.088
03/01/2019 17:00,0.16
03/01/2019 18:00,0.273
03/01/2019 19:00,0.323
03/01/2019 20:00,0.314
03/01/2019 21:00,0.287
03/01/2019 22:00,0.291
03/01/2019 23:00,0.328
04/01/2019 00:00,0.294
04/01/2019 01:00,0.268
04/01/2019 02:00,0.32
04/01/2019 03:00,0.289
04/01/2019 04:00,0.251
04/01/2019 05:00,0.295
04/01/2019 06:00,0.291
04/01/2019 07:00,0.261
04/01/2019 08:00,0.197
04/01/2019 09:00,0.2
04/01/2019 10:00,0.159
04/01/2019 11:00,0.196
04/01/2019 12:00,0.281
04/01/2019 13:00,0.358
